time,open,high,low,close,tick_volume
2026-02-06 16:15:00,4921.65,4926.78,4918.18,4922.53,1562
2026-02-06 16:20:00,4922.61,4922.91,4901.52,4902.01,1993
2026-02-06 16:25:00,4901.95,4908.67,4893.67,4898.18,2042
2026-02-06 16:30:00,4897.98,4930.45,4897.46,4929.21,2290
2026-02-06 16:35:00,4929.16,4947.35,4924.91,4937.33,2376
2026-02-06 16:40:00,4937.48,4937.69,4922.62,4931.87,2365
2026-02-06 16:45:00,4931.82,4940.11,4926.99,4938.88,2061
2026-02-06 16:50:00,4938.16,4944.3,4936.25,4939.78,2108
2026-02-06 16:55:00,4939.81,4950.01,4934.44,4946.94,2159
2026-02-06 17:00:00,4947.91,4959.47,4938.49,4943.55,2232
2026-02-06 17:05:00,4943.57,4964.72,4942.26,4957.52,2218
2026-02-06 17:10:00,4957.8,4961.02,4947.37,4949.15,2133
2026-02-06 17:15:00,4949.14,4953.59,4941.75,4945.45,1989
2026-02-06 17:20:00,4946.23,4954.84,4935.55,4943.44,2055
2026-02-06 17:25:00,4943.79,4960.37,4943.79,4957.24,2117
2026-02-06 17:30:00,4957.31,4960.94,4948.53,4954.48,2008
2026-02-06 17:35:00,4954.23,4956.5,4939.52,4946.12,2096
2026-02-06 17:40:00,4946.36,4953.12,4938.81,4942.37,2152
2026-02-06 17:45:00,4942.45,4948.28,4927.51,4941.51,1987
2026-02-06 17:50:00,4941.42,4951.26,4937.29,4937.57,2004
2026-02-06 17:55:00,4937.68,4944.68,4935.28,4943.81,2005
2026-02-06 18:00:00,4944.02,4950.63,4936.85,4950.24,2166
2026-02-06 18:05:00,4950.36,4950.42,4942.21,4942.49,1924
2026-02-06 18:10:00,4942.44,4950.53,4938.76,4940.51,1815
2026-02-06 18:15:00,4940.43,4946.27,4930.44,4942.62,1981
2026-02-06 18:20:00,4942.48,4943.79,4928.92,4933.94,1883
2026-02-06 18:25:00,4934.04,4939.87,4920.39,4938.72,1962
2026-02-06 18:30:00,4938.82,4940.9,4931.42,4933.86,1818
2026-02-06 18:35:00,4933.89,4941.78,4929.19,4941.43,1784
2026-02-06 18:40:00,4940.72,4948.43,4933.02,4939.27,2041
2026-02-06 18:45:00,4939.36,4948.42,4935.96,4947.68,1961
2026-02-06 18:50:00,4947.65,4948.0,4942.32,4943.75,1747
2026-02-06 18:55:00,4943.63,4953.56,4941.75,4951.84,1772
2026-02-06 19:00:00,4951.99,4959.24,4949.27,4958.26,1888
2026-02-06 19:05:00,4959.14,4960.15,4951.28,4959.37,1796
2026-02-06 19:10:00,4960.02,4960.89,4955.81,4957.49,1601
2026-02-06 19:15:00,4957.49,4959.29,4952.28,4958.44,1666
2026-02-06 19:20:00,4958.35,4959.75,4954.75,4957.44,1469
2026-02-06 19:25:00,4957.63,4959.26,4952.85,4954.65,1579
2026-02-06 19:30:00,4954.6,4968.38,4954.6,4960.9,2020
2026-02-06 19:35:00,4961.07,4961.1,4947.69,4950.1,1826
2026-02-06 19:40:00,4949.93,4955.82,4949.45,4954.51,1716
2026-02-06 19:45:00,4954.36,4959.57,4953.42,4958.32,1639
2026-02-06 19:50:00,4958.2,4961.43,4955.72,4957.27,1575
2026-02-06 19:55:00,4957.47,4964.48,4953.12,4961.04,1635
2026-02-06 20:00:00,4960.86,4964.76,4958.45,4963.12,1688
2026-02-06 20:05:00,4963.07,4968.01,4961.68,4964.96,1933
2026-02-06 20:10:00,4965.08,4971.54,4963.32,4965.76,1855
2026-02-06 20:15:00,4965.92,4967.0,4961.44,4962.52,1670
2026-02-06 20:20:00,4962.57,4964.1,4943.81,4948.73,1924
2026-02-06 20:25:00,4948.67,4957.9,4946.61,4955.91,1913
2026-02-06 20:30:00,4955.62,4960.8,4950.88,4959.77,1657
2026-02-06 20:35:00,4959.95,4966.0,4958.08,4964.38,1439
2026-02-06 20:40:00,4964.41,4965.42,4961.65,4963.95,1221
2026-02-06 20:45:00,4963.77,4967.54,4961.91,4967.04,1460
2026-02-06 20:50:00,4967.05,4968.81,4962.66,4965.19,1419
2026-02-06 20:55:00,4965.22,4966.63,4960.14,4963.25,1236
2026-02-06 21:00:00,4963.28,4963.6,4958.89,4960.6,1460
2026-02-06 21:05:00,4960.64,4961.68,4955.89,4956.78,1272
2026-02-06 21:10:00,4956.8,4959.8,4952.94,4957.92,1503
2026-02-06 21:15:00,4958.08,4962.52,4956.43,4957.66,1293
2026-02-06 21:20:00,4957.56,4961.43,4957.41,4959.5,1158
2026-02-06 21:25:00,4959.97,4961.42,4956.84,4957.97,1100
2026-02-06 21:30:00,4957.91,4959.08,4953.58,4955.06,1193
2026-02-06 21:35:00,4954.93,4955.92,4948.02,4952.41,1497
2026-02-06 21:40:00,4952.49,4953.22,4948.53,4951.22,1362
2026-02-06 21:45:00,4951.35,4962.14,4951.16,4961.03,1411
2026-02-06 21:50:00,4961.04,4963.11,4958.51,4960.79,1259
2026-02-06 21:55:00,4960.81,4961.93,4955.75,4956.47,1395
2026-02-06 22:00:00,4956.33,4958.48,4950.28,4955.44,1369
2026-02-06 22:05:00,4955.46,4959.4,4954.31,4955.67,1196
2026-02-06 22:10:00,4955.77,4955.77,4950.97,4952.6,1319
2026-02-06 22:15:00,4952.43,4953.56,4945.68,4952.97,1295
2026-02-06 22:20:00,4952.92,4957.35,4949.78,4952.88,1358
2026-02-06 22:25:00,4953.11,4956.79,4952.01,4953.62,1021
