time,open,high,low,close,tick_volume
2026-02-06 20:00:00,4960.86,4971.54,4936.02,4959.53,62006
2026-02-09 00:00:00,4991.69,5047.33,4963.44,4982.92,67860
2026-02-09 04:00:00,4982.86,5041.67,4968.51,5036.7,72533
2026-02-09 08:00:00,5036.16,5045.97,4997.01,5007.24,81044
2026-02-09 12:00:00,5007.2,5025.25,4981.21,5007.21,81096
2026-02-09 16:00:00,5007.4,5080.6,5001.65,5046.49,91244
2026-02-09 20:00:00,5046.5,5086.73,5043.86,5058.11,67167
2026-02-10 00:00:00,5058.57,5076.99,4986.13,5033.0,64894
2026-02-10 04:00:00,5033.04,5056.77,5010.46,5039.42,74233
2026-02-10 08:00:00,5039.57,5063.71,5017.93,5047.19,76750
2026-02-10 12:00:00,5047.06,5058.79,5019.0,5051.0,75104
2026-02-10 16:00:00,5051.67,5078.35,4997.7,5025.13,95786
2026-02-10 20:00:00,5025.21,5045.62,5004.29,5025.02,70103
2026-02-11 00:00:00,5025.54,5054.98,5023.73,5052.08,49276
2026-02-11 04:00:00,5052.12,5064.14,5031.72,5052.43,62709
2026-02-11 08:00:00,5052.04,5072.54,5045.1,5062.22,71161
2026-02-11 12:00:00,5062.28,5119.58,5015.05,5065.37,91471
2026-02-11 16:00:00,5065.19,5099.03,5034.65,5091.91,105262
2026-02-11 20:00:00,5091.47,5094.39,5065.79,5083.85,72708
2026-02-12 00:00:00,5084.72,5100.28,5044.26,5063.55,57854
2026-02-12 04:00:00,5063.31,5078.44,5050.41,5075.53,67996
2026-02-12 08:00:00,5075.54,5081.21,5046.58,5072.4,70329
2026-02-12 12:00:00,5072.37,5084.14,5048.67,5075.68,63402
2026-02-12 16:00:00,5075.61,5078.2,4877.22,4941.29,107229
2026-02-12 20:00:00,4941.29,4958.14,4906.72,4921.23,88377
2026-02-13 00:00:00,4923.33,4989.19,4886.44,4980.93,60102
2026-02-13 04:00:00,4981.45,4997.65,4944.5,4946.79,65171
2026-02-13 08:00:00,4946.97,4989.14,4945.75,4969.69,74688
2026-02-13 12:00:00,4969.68,4999.81,4933.03,4987.77,70984
2026-02-13 16:00:00,4987.78,5034.06,4964.09,5021.83,101647
2026-02-13 20:00:00,5021.58,5046.42,5015.25,5041.8,72557
2026-02-16 00:00:00,5035.02,5035.2,4998.96,5028.34,51940
2026-02-16 04:00:00,5028.3,5031.59,4964.08,4991.02,63815
2026-02-16 08:00:00,4990.55,5017.45,4984.39,5013.65,55778
2026-02-16 12:00:00,5013.81,5017.57,4989.05,4996.99,52672
2026-02-16 16:00:00,4996.96,4999.86,4968.5,4991.49,59037
2026-02-16 20:00:00,4991.34,4997.91,4988.05,4991.1,15834
2026-02-17 00:00:00,4994.38,5001.57,4922.51,4956.84,51359
2026-02-17 04:00:00,4956.64,4971.25,4857.27,4889.13,63122
2026-02-17 08:00:00,4888.41,4932.7,4885.85,4925.11,65668
2026-02-17 12:00:00,4925.39,4944.74,4869.2,4870.72,65166
2026-02-17 16:00:00,4869.9,4907.59,4840.97,4864.51,104031
2026-02-17 20:00:00,4864.63,4910.95,4862.06,4876.95,76305
2026-02-18 00:00:00,4878.2,4893.45,4852.83,4890.04,51376
2026-02-18 04:00:00,4890.11,4940.48,4885.99,4932.92,50934
2026-02-18 08:00:00,4933.22,4942.43,4912.38,4917.93,53640
2026-02-18 12:00:00,4917.95,4968.81,4906.0,4954.89,63297
2026-02-18 16:00:00,4954.65,5011.33,4951.79,4998.82,82318
2026-02-18 20:00:00,4998.75,5003.53,4972.46,4976.51,68603
2026-02-19 00:00:00,4974.71,4989.25,4955.65,4972.67,42250
2026-02-19 04:00:00,4972.65,4998.54,4965.29,4996.49,44626
2026-02-19 08:00:00,4997.15,5022.35,4992.55,4995.48,53407
2026-02-19 12:00:00,4995.64,4998.69,4971.73,4996.41,61022
2026-02-19 16:00:00,4996.51,5022.58,4962.71,4983.63,88325
2026-02-19 20:00:00,4983.93,5004.45,4975.26,4995.35,56978
2026-02-20 00:00:00,4995.87,5015.12,4984.96,4997.39,38353
2026-02-20 04:00:00,4997.23,5012.13,4981.09,5011.52,45863
2026-02-20 08:00:00,5011.32,5042.83,5004.58,5027.31,60212
2026-02-20 12:00:00,5027.12,5048.94,5006.4,5043.65,59361
2026-02-20 16:00:00,5044.1,5076.67,4990.06,5072.57,99357
2026-02-20 20:00:00,5072.47,5100.95,5053.85,5100.46,62668
2026-02-23 00:00:00,5108.62,5171.38,5107.12,5157.13,64992
2026-02-23 04:00:00,5156.79,5176.88,5151.87,5157.87,61899
2026-02-23 08:00:00,5157.92,5161.83,5121.84,5149.8,63633
2026-02-23 12:00:00,5149.76,5165.87,5143.18,5146.41,59709
2026-02-23 16:00:00,5146.58,5219.0,5141.02,5207.58,92725
2026-02-23 20:00:00,5207.51,5237.61,5201.16,5227.41,62845
2026-02-24 00:00:00,5226.85,5249.75,5145.0,5177.36,62623
2026-02-24 04:00:00,5177.49,5192.17,5160.23,5182.1,67934
2026-02-24 08:00:00,5182.25,5185.17,5155.84,5171.76,68804
2026-02-24 12:00:00,5171.74,5181.31,5110.59,5115.28,68728
2026-02-24 16:00:00,5114.83,5164.05,5092.39,5164.01,90453
2026-02-24 20:00:00,5164.01,5173.52,5140.11,5143.93,62332
2026-02-25 00:00:00,5143.32,5190.77,5120.77,5177.0,52807
2026-02-25 04:00:00,5176.99,5210.86,5165.9,5201.33,68107
2026-02-25 08:00:00,5201.33,5202.1,5175.4,5192.82,60421
2026-02-25 12:00:00,5192.74,5195.52,5154.85,5184.84,62391
2026-02-25 16:00:00,5184.85,5217.97,5158.29,5206.51,82122
